time,open,high,low,close,volume
2020-08-10T01:00:00+01:00,5010.59,7199,5010.59,6229.19,1559.610221
2020-08-11T01:00:00+01:00,6229.16,6783.43,5680,6040.2,848.979507
2020-08-12T01:00:00+01:00,6041,6117.51,5250,5749.62,793.307732
2020-08-13T01:00:00+01:00,5749.62,5814.34,3000,5346.99,1155.421556
2020-08-14T01:00:00+01:00,5346.92,5346.92,4684.11,5016.14,377.720662
2020-08-15T01:00:00+01:00,5016.26,5450,4158.57,5414.22,870.692745
2020-08-16T01:00:00+01:00,5416.21,6750,5171.75,6660,1125.180336
2020-08-17T01:00:00+01:00,6676.25,9103.93,6340.28,8900,1704.881736
2020-08-18T01:00:00+01:00,8900.1,12821,8693,9655,3150.948846
2020-08-19T01:00:00+01:00,9655,12777,9600,12599.72,2214.156099
2020-08-20T01:00:00+01:00,12576.36,16668.99,11418.36,15275,4174.078908
2020-08-21T01:00:00+01:00,15321.68,15600,11777,12296.34,2424.862307
2020-08-22T01:00:00+01:00,12296.33,14426.46,11113.97,14034.28,1301.303626
2020-08-23T01:00:00+01:00,14024.29,14100,12000,12571.37,754.849192
2020-08-24T01:00:00+01:00,12571.36,14500,12157.16,14466.02,767.728062
2020-08-25T01:00:00+01:00,14490,14773.72,12729.16,13510.2,770.203495
2020-08-26T01:00:00+01:00,13489.79,16364.43,13201,15677.91,920.170735
2020-08-27T01:00:00+01:00,15677.91,15899.99,13960.43,14183.1,688.002112
2020-08-28T01:00:00+01:00,14119.63,19500,14017.07,18848.99,2354.10085
2020-08-29T01:00:00+01:00,18781.52,27547.33,17829.53,27400,4896.605905
2020-08-30T01:00:00+01:00,27407.7,38855.31,26900,31677.95,8439.521373
2020-08-31T01:00:00+01:00,31667.25,39690,29689.41,34835.3,5790.741901
2020-09-01T01:00:00+01:00,34901.94,36922.53,31000,31951.5,3815.862667
2020-09-02T01:00:00+01:00,31950.9,32856.4,25530,32000,3453.025218
2020-09-03T01:00:00+01:00,31840.07,33359.99,27380.31,29400.07,2613.293491
2020-09-04T01:00:00+01:00,29400,31600,22811.63,27311.92,1889.399803
2020-09-05T01:00:00+01:00,27306.36,28749.99,18056.43,22193.5,3541.94797
2020-09-06T01:00:00+01:00,22100.19,25399.33,19400,23797.1,2211.468384
2020-09-07T01:00:00+01:00,23806.26,24650,20500,22985.3,1148.401352
2020-09-08T01:00:00+01:00,22959.99,23499.97,21054.07,22518.41,858.938668
2020-09-09T01:00:00+01:00,22572.47,29363.97,21500,27500.03,2489.348894
2020-09-10T01:00:00+01:00,27551.46,34900,27455.81,34045.73,3215.202581
2020-09-11T01:00:00+01:00,34049.46,38333,31250,38146.99,2112.150071
2020-09-12T01:00:00+01:00,38093.39,43966.31,36205.94,43194.45,3002.971639
2020-09-13T01:00:00+01:00,43257.62,43317.18,32500,36893.01,2757.646627
2020-09-14T01:00:00+01:00,36850.05,42250.05,34765.31,39868.08,2436.060473
2020-09-15T01:00:00+01:00,39868.05,41537.28,35150,35380,2161.430316
2020-09-16T01:00:00+01:00,35334.16,37181.07,30571.07,34885.58,2653.140653
2020-09-17T01:00:00+01:00,34888.84,36709.99,29590.23,33258.34,2160.239852
2020-09-18T01:00:00+01:00,33231.76,34716.36,31250.14,33065.96,1548.206031
2020-09-19T01:00:00+01:00,33038.86,33168.31,27851,30932.7,1714.68416
2020-09-20T01:00:00+01:00,30919.05,30973,26200,28071.33,1684.067624
2020-09-21T01:00:00+01:00,28071.33,28500,21722.59,24045.53,3181.510133
2020-09-22T01:00:00+01:00,24045.53,26967.44,22727.38,25017.3,2293.62026
2020-09-23T01:00:00+01:00,25042.9,26300,21014.57,21191.4,2196.871823
2020-09-24T01:00:00+01:00,21203.18,25317.82,20275.1,25258.49,2191.787375
2020-09-25T01:00:00+01:00,25258.49,27549.38,23200,26807.53,1687.171345
2020-09-26T01:00:00+01:00,26807.31,31890,25963.43,31645.39,2543.542627
2020-09-27T01:00:00+01:00,31631.62,34204.24,28202,30621.02,3116.939096
2020-09-28T01:00:00+01:00,30631.08,31450,27549.12,28460.24,1834.975322
2020-09-29T01:00:00+01:00,28436.57,28896.52,23500,25039.35,3732.158489
2020-09-30T01:00:00+01:00,25040.41,25092.57,21800,23822.04,2759.39621
2020-10-01T01:00:00+01:00,23858.17,26256.62,21388.17,22790.75,3000.644333
2020-10-02T01:00:00+01:00,22784.83,23278.61,18905.01,21047.03,3045.784962
2020-10-03T01:00:00+01:00,21059.38,21706.17,18500,18850,2141.871278
2020-10-04T01:00:00+01:00,18850,20249,15993.82,19149.94,4707.292378
2020-10-05T01:00:00+01:00,19149.89,20500,17500,19176.46,3051.337659
2020-10-06T01:00:00+01:00,19176.19,19399.99,16040.16,16601.44,3129.260385
2020-10-07T01:00:00+01:00,16586.33,16681.13,13715.47,14853.84,5017.701124
2020-10-08T01:00:00+01:00,14853.88,17338.69,12260,16732.58,9625.785094
2020-10-09T01:00:00+01:00,16728.5,19469.28,15789.59,18040.96,5607.476619
2020-10-10T01:00:00+01:00,18042.64,19400,15835,15995.01,3538.996837
2020-10-11T01:00:00+01:00,15986.1,17700,15032.38,16900,4051.864315
2020-10-12T01:00:00+01:00,16900,17530,15640.16,16521.11,3092.932273
2020-10-13T01:00:00+01:00,16503.32,16690.93,15283.56,15634.07,2142.199809
2020-10-14T01:00:00+01:00,15652.86,16100,13729.48,14578.98,3006.722256
2020-10-15T01:00:00+01:00,14573.7,15800,13933.27,14614.29,2708.844495
2020-10-16T01:00:00+01:00,14607.68,14620.81,13372.36,13403.4,1957.583511
2020-10-17T01:00:00+01:00,13405,14152.54,13120,14039.17,1403.676111
2020-10-18T01:00:00+01:00,14053.07,15782,13931.7,15427.68,2797.984447
2020-10-19T01:00:00+01:00,15429.8,15645,13709.88,13709.88,2313.854188
2020-10-20T01:00:00+01:00,13721.36,14119.99,12720.07,13053.33,2728.48334
2020-10-21T01:00:00+01:00,13053.33,14667,12905.94,13293.14,3561.996755
2020-10-22T01:00:00+01:00,13283.21,14389.47,13132.54,13724.82,2015.691656
2020-10-23T01:00:00+01:00,13722.33,14940.31,13600,14903.15,2773.621762
2020-10-24T01:00:00+01:00,14892.61,15481.15,14535,14872.72,1809.589321
2020-10-25T01:00:00+01:00,14864.85,14900,14150,14297,1239.062573
2020-10-26T00:00:00Z,14289.81,14573.88,13176.7,13589.52,2034.404345
2020-10-27T00:00:00Z,13593.11,14200,13320.21,13372.88,1443.568482
2020-10-28T00:00:00Z,13370.45,13611.29,12000,12556.47,2192.755982
2020-10-29T00:00:00Z,12553.98,12944.98,10511.01,10781.1,3722.355507
2020-10-30T00:00:00Z,10780.08,11971.68,9635.55,11014.56,6548.752791
2020-10-31T00:00:00Z,11011.03,11430.16,10255.7,10492.89,2308.023455
2020-11-01T00:00:00Z,10474.7,11039.14,9978.06,10689.46,1992.14649
2020-11-02T00:00:00Z,10689.31,11221.02,10016.64,10092.3,2451.959967
2020-11-03T00:00:00Z,10092.84,10247.09,9302.65,9351.52,2935.388884
